전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,제주특별자치도,766,855,1007,1229,1132,1861,1832,1875,1998,2127,2663,2829,2790,3651,3198,2731,2657,3081,2872,3119,3613,3173,3142,2929,2473,2469,2476,2542,2925,2751,2475,2614,2803,2588,2534,2252,2086,2092,1940,1926,1780,1875,1928,1996,2131,2735,2948,2993
대구광역시,전국,-,-,-,-,-,-,-,-,-,-,-,481534,521117,582412,525143,518560,513581,570103,558115,517090,528024,522785,558150,524762,538742,537292,528825,499790,474560,503678,480947,463131,476535,490571,431605,465300,454076,416398,422676,411288,382657,383310,359206,363224,365739,364364,337488,333118
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,19760,23725,32205,28897,25736,21724,20130,22080,21201,19521,17638,16451,15442,14193,14137,14456,14410,13888,16322,16970,16841,16781,15963,15093,15386,15902,15849,14824,15469,13915,13310,13838,13673,13735,13038,12802,13011
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,10590,10732,10512,10804,10696,10114,10496,10019,8789,8848,7788,7119,6410,5848,6241,6584,6434,6290,6566,5844,6086,5687,6177,5567,5784,5232,5374,5066,5207,5050,4906,5216,5543,6157,5182,4860,4840
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,348566,393803,438255,390862,384972,383388,429854,417433,387612,387458,389023,432375,401316,425696,421778,397170,376257,355609,380180,367458,345148,358842,372007,315547,337457,325969,297869,311113,298755,274649,276495,254661,258107,252642,259185,240722,236143
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,1440,1640,1921,1927,2036,1922,2074,1927,2272,2438,2099,2087,2111,1957,1963,2093,2033,1828,2199,2209,2575,2528,2392,2252,2257,2250,2442,2125,2003,1968,2000,1979,2202,2015,1987,1962,1930
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,517,529,629,704,620,511,502,448,357,493,529,464,523,562,531,622,564,646,623,670,668,602,563,624,527,577,711,622,902,629,547,515
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2014,2169,2119,2044,2330,2253,2502,2751,2418,2314,2528,2378,2561,2672,2471,2397,2528,2483,2221,2106,2057,1956,2063,2144,2219,2254,2085,1949,1978
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4074,3339,3476,3465,3835,3574,4054,4101,4211,4129,4023,4283,3740,3551,3586,3844,3833,3835,3675,3266,2604
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261,233,526,879,642,827
